,,,,MB-clonallines-nla-karyo-plate2c1_78,MB-clonallines-nla-karyo-plate2c1_80,MB-clonallines-nla-karyo-plate2c1_82,MB-clonallines-nla-karyo-plate2c1_76,MB-clonallines-nla-karyo-plate2c1_86,MB-clonallines-nla-karyo-plate2c1_74,MB-clonallines-nla-karyo-plate2c1_84,MB-clonallines-nla-karyo-plate2c1_72,MB-clonallines-nla-karyo-plate2c1_170,MB-clonallines-nla-karyo-plate2c1_50,MB-clonallines-nla-karyo-plate2c1_132,MB-clonallines-nla-karyo-plate2c1_103,MB-clonallines-nla-karyo-plate2c1_48,MB-clonallines-nla-karyo-plate2c1_54,MB-clonallines-nla-karyo-plate2c1_108,MB-clonallines-nla-karyo-plate2c1_52,MB-clonallines-nla-karyo-plate2c1_109,MB-clonallines-nla-karyo-plate2c1_120,MB-clonallines-nla-karyo-plate2c1_56,MB-clonallines-nla-karyo-plate2c1_158,MB-clonallines-nla-karyo-plate2c1_102,MB-clonallines-nla-karyo-plate2c1_38,MB-clonallines-nla-karyo-plate2c1_106,MB-clonallines-nla-karyo-plate2c1_111,MB-clonallines-nla-karyo-plate2c1_58,MB-clonallines-nla-karyo-plate2c1_30,MB-clonallines-nla-karyo-plate2c1_13,MB-clonallines-nla-karyo-plate2c1_130,MB-clonallines-nla-karyo-plate2c1_9,MB-clonallines-nla-karyo-plate2c1_39,MB-clonallines-nla-karyo-plate2c1_229,MB-clonallines-nla-karyo-plate2c1_35,MB-clonallines-nla-karyo-plate2c1_26,MB-clonallines-nla-karyo-plate2c1_34,MB-clonallines-nla-karyo-plate2c1_24,MB-clonallines-nla-karyo-plate2c1_25,MB-clonallines-nla-karyo-plate2c1_2,MB-clonallines-nla-karyo-plate2c1_127,MB-clonallines-nla-karyo-plate2c1_32,MB-clonallines-nla-karyo-plate2c1_36,MB-clonallines-nla-karyo-plate2c1_100,MB-clonallines-nla-karyo-plate2c1_27,MB-clonallines-nla-karyo-plate2c1_105,MB-clonallines-nla-karyo-plate2c1_28,MB-clonallines-nla-karyo-plate2c1_134,MB-clonallines-nla-karyo-plate2c1_83,MB-clonallines-nla-karyo-plate2c1_128,MB-clonallines-nla-karyo-plate2c1_77,MB-clonallines-nla-karyo-plate2c1_154,MB-clonallines-nla-karyo-plate2c1_125,MB-clonallines-nla-karyo-plate2c1_75,MB-clonallines-nla-karyo-plate2c1_16,MB-clonallines-nla-karyo-plate2c1_110,MB-clonallines-nla-karyo-plate2c1_99,MB-clonallines-nla-karyo-plate2c1_131,MB-clonallines-nla-karyo-plate2c1_122,MB-clonallines-nla-karyo-plate2c1_29,MB-clonallines-nla-karyo-plate2c1_152,MB-clonallines-nla-karyo-plate2c1_129,MB-clonallines-nla-karyo-plate2c1_101,MB-clonallines-nla-karyo-plate2c1_155,MB-clonallines-nla-karyo-plate2c1_33,MB-clonallines-nla-karyo-plate2c1_17,MB-clonallines-nla-karyo-plate2c1_168,MB-clonallines-nla-karyo-plate2c1_96,MB-clonallines-nla-karyo-plate2c1_98,MB-clonallines-nla-karyo-plate2c1_19,MB-clonallines-nla-karyo-plate2c1_6,MB-clonallines-nla-karyo-plate2c1_79,MB-clonallines-nla-karyo-plate2c1_124,MB-clonallines-nla-karyo-plate2c1_126,MB-clonallines-nla-karyo-plate2c1_148,MB-clonallines-nla-karyo-plate2c1_144,MB-clonallines-nla-karyo-plate2c1_146,MB-clonallines-nla-karyo-plate2c1_107,MB-clonallines-nla-karyo-plate2c1_73,MB-clonallines-nla-karyo-plate2c1_3,MB-clonallines-nla-karyo-plate2c1_53,MB-clonallines-nla-karyo-plate2c1_14,MB-clonallines-nla-karyo-plate2c1_366,MB-clonallines-nla-karyo-plate2c1_10,MB-clonallines-nla-karyo-plate2c1_87,MB-clonallines-nla-karyo-plate2c1_145,MB-clonallines-nla-karyo-plate2c1_157,MB-clonallines-nla-karyo-plate2c1_104,MB-clonallines-nla-karyo-plate2c1_12,MB-clonallines-nla-karyo-plate2c1_97,MB-clonallines-nla-karyo-plate2c1_20,MB-clonallines-nla-karyo-plate2c1_21,MB-clonallines-nla-karyo-plate2c1_7,MB-clonallines-nla-karyo-plate2c1_11,MB-clonallines-nla-karyo-plate2c1_121,MB-clonallines-nla-karyo-plate2c1_133,MB-clonallines-nla-karyo-plate2c1_135,MB-clonallines-nla-karyo-plate2c1_31,MB-clonallines-nla-karyo-plate2c1_159,MB-clonallines-nla-karyo-plate2c1_15,MB-clonallines-nla-karyo-plate2c1_172,MB-clonallines-nla-karyo-plate2c1_156,MB-clonallines-nla-karyo-plate2c1_1,MB-clonallines-nla-karyo-plate2c1_5,MB-clonallines-nla-karyo-plate2c1_85,MB-clonallines-nla-karyo-plate2c1_8,MB-clonallines-nla-karyo-plate2c1_150,MB-clonallines-nla-karyo-plate2c1_37,MB-clonallines-nla-karyo-plate2c1_55,MB-clonallines-nla-karyo-plate2c1_18,MB-clonallines-nla-karyo-plate2c1_153,MB-clonallines-nla-karyo-plate2c1_81,MB-clonallines-nla-karyo-plate2c1_123,MB-clonallines-nla-karyo-plate2c1_0,MB-clonallines-nla-karyo-plate2c1_147,MB-clonallines-nla-karyo-plate2c1_51,MB-clonallines-nla-karyo-plate2c1_149,MB-clonallines-nla-karyo-plate2c1_61,MB-clonallines-nla-karyo-plate2c1_151,MB-clonallines-nla-karyo-plate2c1_59,MB-clonallines-nla-karyo-plate2c1_4,MB-clonallines-nla-karyo-plate2c1_69
None,9,84750000,85000000,47.0,16.0,12.0,50.0,7.0,16.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,84750000,85000000,8.0,2.0,,8.0,4.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,85000000,85250000,39.0,24.0,10.0,46.0,10.0,19.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,85000000,85250000,18.0,2.0,4.0,16.0,8.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,85250000,85500000,20.0,6.0,10.0,32.0,6.0,16.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,85250000,85500000,32.0,13.0,14.0,29.0,15.0,20.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,85500000,85750000,26.0,16.0,14.0,52.0,12.0,26.0,7.0,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,85500000,85750000,18.0,16.0,2.0,16.0,6.0,14.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,85750000,86000000,50.0,10.0,6.0,40.0,11.0,27.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,85750000,86000000,16.0,10.0,6.0,20.0,6.0,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,86000000,86250000,41.0,16.0,17.0,30.0,16.0,14.0,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,86000000,86250000,14.0,10.0,10.0,12.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,86250000,86500000,8.0,12.0,8.0,22.0,2.0,14.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,86250000,86500000,41.0,19.0,19.0,26.0,2.0,24.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,86500000,86750000,30.0,35.0,16.0,36.0,7.0,21.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,86500000,86750000,24.0,13.0,4.0,6.0,6.0,20.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,86750000,87000000,41.0,28.0,9.0,23.0,13.0,14.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,86750000,87000000,10.0,10.0,10.0,14.0,8.0,4.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,87000000,87250000,19.0,15.0,4.0,36.0,7.0,14.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,87000000,87250000,14.0,8.0,8.0,28.0,6.0,16.0,8.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,87250000,87500000,4.0,2.0,,14.0,2.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,87250000,87500000,29.0,12.0,5.0,34.0,14.0,18.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,87500000,87750000,41.0,18.0,12.0,39.0,8.0,21.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,87500000,87750000,16.0,11.0,,14.0,8.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,87750000,88000000,41.0,24.0,8.0,52.0,8.0,33.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,87750000,88000000,6.0,4.0,2.0,14.0,,10.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,88000000,88250000,36.0,16.0,14.0,42.0,8.0,20.0,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,88000000,88250000,20.0,4.0,2.0,22.0,8.0,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,88250000,88500000,44.0,16.0,10.0,41.0,6.0,39.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,88250000,88500000,14.0,,8.0,18.0,2.0,12.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,88500000,88750000,8.0,10.0,6.0,13.0,2.0,22.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,89000000,89250000,2.0,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,89250000,89500000,16.0,8.0,8.0,14.0,4.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,89250000,89500000,39.0,27.0,10.0,37.0,12.0,31.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,89500000,89750000,45.0,20.0,12.0,50.0,15.0,26.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,89500000,89750000,4.0,8.0,4.0,16.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,89750000,90000000,48.0,17.0,10.0,48.0,8.0,23.0,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
129P2_OlaHsd,9,89750000,90000000,6.0,6.0,2.0,14.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,90000000,90250000,46.0,22.0,14.0,53.0,18.0,22.0,17.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,90000000,90250000,12.0,2.0,2.0,16.0,2.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,90250000,90500000,34.0,16.0,8.0,31.0,19.0,26.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,90250000,90500000,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,90500000,90750000,46.0,32.0,17.0,34.0,8.0,5.0,15.0,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,90500000,90750000,2.0,10.0,2.0,,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,90750000,91000000,34.0,17.0,12.0,36.0,10.0,26.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,90750000,91000000,4.0,2.0,4.0,2.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,91000000,91250000,46.0,7.0,20.0,33.0,15.0,20.0,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,91000000,91250000,16.0,6.0,2.0,6.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,91250000,91500000,10.0,6.0,2.0,2.0,2.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,91250000,91500000,34.0,28.0,11.0,30.0,12.0,25.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,91500000,91750000,34.0,15.0,14.0,30.0,9.0,10.0,14.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,91500000,91750000,8.0,10.0,2.0,11.0,2.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,91750000,92000000,32.0,18.0,4.0,38.0,10.0,20.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,91750000,92000000,6.0,6.0,4.0,20.0,10.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,92000000,92250000,38.0,29.0,8.0,57.0,12.0,16.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,92000000,92250000,8.0,4.0,,8.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,92250000,92500000,56.0,15.0,32.0,45.0,18.0,16.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,92250000,92500000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,92500000,92750000,49.0,26.0,10.0,39.0,7.0,14.0,16.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,92750000,93000000,42.0,10.0,18.0,35.0,14.0,24.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,93000000,93250000,31.0,16.0,6.0,43.0,12.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,93250000,93500000,54.0,22.0,10.0,44.0,14.0,15.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,93500000,93750000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,93500000,93750000,27.0,17.0,6.0,37.0,12.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,93750000,94000000,50.0,17.0,9.0,48.0,26.0,25.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,94000000,94250000,36.0,19.0,20.0,54.0,8.0,12.0,14.0,10.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,94250000,94500000,18.0,14.0,4.0,24.0,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,94250000,94500000,29.0,17.0,9.0,37.0,10.0,4.0,15.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,94500000,94750000,33.0,15.0,14.0,61.0,16.0,16.0,6.0,11.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,9,94500000,94750000,8.0,4.0,4.0,6.0,6.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,9,94750000,95000000,56.0,24.0,24.0,45.0,15.0,29.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
