sampleName,,,,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_5,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_2,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_6,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_7,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_3,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_4,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_1,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_121,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_43,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_196,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_175,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_331,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_296,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_259,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_167,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_202,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_379,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_283,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_26,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_19,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_21,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_186,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_136,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_161,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_241,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_192,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_36,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_313,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_124,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_112,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_328,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_353,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_303,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_229,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_351,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_253,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_224,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_148,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_300,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_246,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_334,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_215,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_275,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_78,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_269,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_311,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_200,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_213,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_132,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_368,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_89,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_183,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_337,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_71,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_266,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_232,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_376,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_37,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_226,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_42,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_227,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_79,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_157,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_298,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_75,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_150,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_96,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_279,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_48,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_220,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_258,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_99,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_44,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_69,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_95,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_34,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_171,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_346,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_338,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_381,MB-Bulk-Clone5-FACS0806_AHYFGMBGX5_S2_142
12,C57BL_6NJ,114946047,"114946095.D,114946096.D,114946097.D,114946098.D,114946099.D",,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946096.D,4.0,,,2.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946096.D,114946097.D,114946098.D,114946099.D,114946100.D",,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946097.D,4.0,,8.0,14.0,8.0,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946097.D,114946102.D,114946103.D,114946104.D",,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946097.D,114946107.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946097.D,114946259.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946098.D,114946099.D,114946100.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946098.D,114946099.D,114946100.D,114946101.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946099.D,2.0,,,4.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946099.D,114946100.D,114946101.D",,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D",,,,,,2.0,1156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,114946248.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,114946257.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,114946259.D",,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,114946262.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,G.114946257.I",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946100.D,114946101.D,114946102.D,T.114946057.I",,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946101.D,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D",,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D",,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D",,,,2124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946106.D,114946107.D,114946108.D,114946109.D,114946110.D,114946111.D,114946112.D,114946113.D,114946114.D,114946115.D,114946116.D,114946117.D",,,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946106.D,114946107.D,114946108.D,114946109.D,114946110.D,114946111.D,114946112.D,114946113.D,114946114.D,114946115.D,114946116.D,114946117.D,114946259.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946106.D,114946107.D,114946108.D,114946109.D,114946110.D,114946111.D,114946112.D,114946113.D,114946114.D,114946115.D,114946116.D,114946117.D,114946261.D",,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946106.D,114946107.D,114946108.D,114946109.D,114946110.D,114946111.D,114946112.D,114946113.D,114946114.D,114946115.D,114946116.D,114946117.D,114946263.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946259.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,114946262.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,A.114946051.I",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946101.D,114946102.D,114946103.D,114946104.D,114946105.D,G.114946260.I",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946102.D,,8.0,6.0,3606.0,260.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946103.D,114946104.D",,,,282.0,,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946103.D,114946104.D,114946259.D",,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946103.D,114946104.D,114946263.D",,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946255.D,114946256.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946258.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946259.D",,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946261.D",,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,114946262.D",,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,G.114946058.I",,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,G.114946104.I,G.114946105.I",,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946102.D,T.114946057.I",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946103.D,114946104.D,114946105.D,114946106.D",,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946104.D,2.0,,2.0,66.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946104.D,114946105.D,114946106.D,114946107.D,114946108.D",,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946105.D,114946106.D,114946107.D",,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946107.D,,4.0,,4.0,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946107.D,114946108.D",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946107.D,114946259.D",,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946108.D,2.0,2.0,2.0,4.0,2.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946110.D,4.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946112.D,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946112.D,114946113.D",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946115.D,8.0,2.0,2.0,10.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946115.D,114946116.D",,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946205.D,,,2.0,4.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946207.D,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946207.D,114946208.D",,,2.0,6.0,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946208.D,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946209.D,8.0,8.0,6.0,20.0,12.0,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946215.D,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946215.D,114946216.D",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946216.D,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946217.D,2.0,2.0,2.0,,4.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946219.D,2.0,,2.0,6.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946220.D,6.0,2.0,4.0,14.0,4.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946221.D,114946222.D",,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946222.D,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946222.D,114946223.D",,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946223.D,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946225.D,114946226.D,114946227.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946225.D,114946226.D,114946227.D,114946228.D",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946225.D,114946226.D,C.114946220.I,T.114946221.I",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946226.D,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946227.D,,,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946229.D,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946230.D,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946230.D,114946231.D,114946232.D",,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946231.D,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946232.D,114946233.D",,,4.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946232.D,114946233.D,114946234.D,114946235.D",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946233.D,4.0,,4.0,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946233.D,114946234.D",8.0,2.0,14.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946234.D,4.0,,6.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946234.D,114946235.D",2.0,6.0,4.0,2.0,12.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946235.D,2.0,4.0,,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946235.D,114946236.D,114946237.D,114946238.D,A.114946234.I,G.114946235.I,T.114946233.I,T.114946236.I",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946237.D,,,,6.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,"114946237.D,114946238.D,A.114946234.I,T.114946233.I",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114946047,114946238.D,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
